Název,Cena,Hmotnost,Cena/kg,Odkaz,Cena_numeric
Philadelphia Original Smetanový sýr,"68,00 Kč",200 g,340 Kč/kg,https://www.rohlik.cz/1410229-philadelphia-original-smetanovy-syr,68.0
Philadelphia Original Smetanový sýr,"61,90 Kč",125 g,495.2 Kč/kg,https://www.rohlik.cz/761943-philadelphia-original-smetanovy-syr,61.9
Président Delikátní tvaroh pažitka,"27,90 Kč",125 g,223.2 Kč/kg,https://www.rohlik.cz/1437935-president-delikatni-tvaroh-pazitka,27.9
Président Delikátní tvaroh ředkvička,"27,90 Kč",125 g,223.2 Kč/kg,https://www.rohlik.cz/1437934-president-delikatni-tvaroh-redkvicka,27.9
Président Delikátní tvaroh rajče,"27,90 Kč",125 g,223.2 Kč/kg,https://www.rohlik.cz/1437936-president-delikatni-tvaroh-rajce,27.9
Président Delikátní tvaroh,"27,90 Kč",125 g,223.2 Kč/kg,https://www.rohlik.cz/1437933-president-delikatni-tvaroh,27.9
Eru Gouda tavený sýr,"36,90 Kč",100 g,369 Kč/kg,https://www.rohlik.cz/1437187-eru-gouda-taveny-syr,36.9
"Pragolaktos Trvanlivé plnotučné mléko bez laktózy 3,5%","30,90 Kč",1 l,30.9 Kč/l,https://www.rohlik.cz/1422152-pragolaktos-trvanlive-plnotucne-mleko-bez-laktozy-3-5,30.9
Parmareggio Tavený sýr s Parmigiano Reggiano,"55,40 Kč",140 g,395.71 Kč/kg,https://www.rohlik.cz/1376087-parmareggio-taveny-syr-s-parmigiano-reggiano,55.4
"Pragolaktos Trvanlivé mléko 3,5% plnotučné","28,90 Kč",1 l,28.9 Kč/l,https://www.rohlik.cz/1420012-pragolaktos-trvanlive-mleko-3-5-plnotucne,28.9
Madeta Jihočeské žervé křen,"23,90 Kč",90 g,265.56 Kč/kg,https://www.rohlik.cz/1419303-madeta-jihoceske-zerve-kren,23.9
Eru Gruyere tavený sýr,"36,90 Kč",100 g,369 Kč/kg,https://www.rohlik.cz/1440865-eru-gruyere-taveny-syr,36.9
